0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:47:36 +0900] "GET /shop3/board/detail.shop?num=24 HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:47:38 +0900] "GET /shop3/board/delete.shop?num=24 HTTP/1.1" 200 1455
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:47:47 +0900] "POST /shop3/board/delete.shop HTTP/1.1" 200 1520
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:47:50 +0900] "POST /shop3/board/delete.shop HTTP/1.1" 404 672
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:48:13 +0900] "GET /shop3/board/list.shop HTTP/1.1" 200 5187
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:48:37 +0900] "GET /shop3/board/detail.shop?num=22 HTTP/1.1" 200 1976
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:48:37 +0900] "GET /shop3/board/imgfile/zz.PNG HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:48:37 +0900] "GET /shop3/board/imgfile/0_out.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:48:49 +0900] "GET /shop3/board/list.shop HTTP/1.1" 200 5187
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:48:51 +0900] "GET /shop3/board/detail.shop?num=27 HTTP/1.1" 200 1837
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:48:53 +0900] "GET /shop3/board/delete.shop?num=27 HTTP/1.1" 200 1455
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:48:54 +0900] "POST /shop3/board/delete.shop HTTP/1.1" 200 1520
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:48:56 +0900] "POST /shop3/board/delete.shop HTTP/1.1" 200 1520
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:48:57 +0900] "POST /shop3/board/delete.shop HTTP/1.1" 200 1520
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:48:58 +0900] "GET /shop3/board/list.shop HTTP/1.1" 200 5187
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:49:00 +0900] "GET /shop3/board/detail.shop?num=30 HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:49:02 +0900] "GET /shop3/board/delete.shop?num=30 HTTP/1.1" 200 1455
